"Gene","HR","HR_lower","HR_upper","p_value"
"LOC100289045",0.939,0.386,2.288,0.890445
"CCDC148",0.398,0.111,1.427,0.157248
"LOC643659",1.669,0.368,7.568,0.506865
"HYALP1",0.856,0.201,3.644,0.833385
"LINC01599",0.697,0.289,1.683,0.422132
"LOC338667",0.583,0.211,1.615,0.299589
"LOC643923",0.665,0.163,2.711,0.569757
"ST7-AS2",0.279,0.046,1.705,0.16707
"EMP1",1.155,0.836,1.596,0.383311
"KRTAP11-1",1.163,0.398,3.396,0.782194
"C14orf178",0.883,0.322,2.42,0.808108
"LOC101928225",0.456,0.12,1.733,0.249087
"CDC42BPG",0.438,0.142,1.348,0.15011
"KIAA1211",1.114,0.793,1.564,0.533705
"LOC151760",2.675,0.741,9.663,0.133101
"LINC01618",1.048,0.351,3.125,0.933186
"TNR",0.988,0.253,3.865,0.986054
"LOC101928495",0.516,0.088,3.034,0.464418
"KRTAP13-1",0.592,0.218,1.604,0.302516
"TBX20",0.445,0.156,1.272,0.130658
"KRTAP7-1",0.69,0.267,1.782,0.442763
"ZNF92",0.836,0.415,1.681,0.614734
"SETDB2",1.321,0.65,2.686,0.441954
"KRTAP8-1",0.874,0.326,2.345,0.78942
"PRMT1",0.632,0.32,1.248,0.186257
"AFF3",0.773,0.149,4.016,0.759258
"MAP3K2",1.403,0.671,2.933,0.367951
"RBMY3AP",1.302,0.447,3.789,0.628499
"GDPGP1",1.911,0.785,4.653,0.153734
"LOC102724250",1.368,0.668,2.803,0.391866
"MGST1",0.676,0.494,0.925,0.01441
"ALB",0.566,0.155,2.068,0.38961
"TNXB",1.22,0.584,2.551,0.596566
"ELL",0.811,0.292,2.253,0.688174
"TFE3",2.128,0.893,5.073,0.088361
"RARA",0.763,0.381,1.526,0.443865
"GRM5",1.923,0.385,9.601,0.425685
"LINC00529",0.269,0.065,1.119,0.071016
"HPRT1",0.785,0.348,1.772,0.560306
"XAGE-4",0.6,0.304,1.183,0.140349
"EGFR",1.056,0.495,2.252,0.888335
"NKX1-1",1.636,0.879,3.044,0.120665
"RNF141",0.679,0.277,1.662,0.396534
"LINC00628",0.587,0.207,1.668,0.317449
"TATDN2",0.535,0.181,1.581,0.258053
"ZSCAN5A",0.323,0.123,0.844,0.021139
"LOC101928968",1.154,0.329,4.051,0.822633
"SP140L",0.69,0.308,1.548,0.368058
"PCDH9",2.282,0.744,6.994,0.148905
"PWP2",0.523,0.15,1.819,0.308326
"LOC100287290",0.976,0.201,4.736,0.975769
"AGAP4",1.083,0.703,1.668,0.718512
"LRRK1",1.452,0.681,3.095,0.334634
"PMP22",2.536,1.316,4.888,0.005446
"C16orf45",1.276,0.605,2.691,0.52179
"MROH1",0.646,0.345,1.21,0.17222
"CMTM6",2.221,0.945,5.219,0.067126
"FUT6",0.736,0.508,1.066,0.104358
"MUC6",1.02,0.514,2.024,0.9546
"TUBA1B",1.054,0.434,2.559,0.90702
"FCGR2A",1.118,0.741,1.688,0.593671
"FCGR2C",1.049,0.638,1.724,0.849443
"PRSS23",1.146,0.825,1.59,0.416078
"DIP2C",1.58,0.985,2.535,0.057841
"LOC400940",2.687,0.381,18.978,0.321577
"HECTD2",2.236,0.823,6.077,0.114619
"SMAD4",0.963,0.479,1.938,0.916814
"FUS",1.231,0.556,2.724,0.608746
"LOC100128281",2.284,0.32,16.318,0.41033
"TTC34",0.598,0.224,1.592,0.303117
"ALDH3B1",2.251,1.106,4.581,0.025215
"SCTR",1.118,0.243,5.142,0.886392
"LOC105369974",0.702,0.2,2.458,0.579979
"N4BP2L2",1.282,0.915,1.797,0.149519
"METAP1D",0.646,0.223,1.876,0.421978
"SNORD68",0.686,0.259,1.817,0.4478
"MEDAG",0.936,0.518,1.69,0.826518
"DKFZp434E1119",0.995,0.361,2.743,0.992989
"PAK1",0.484,0.255,0.917,0.026165
"LOC101927410",0.312,0.101,0.963,0.042884
"ABCA8",0.913,0.567,1.473,0.710006
"TNK2-AS1",0.925,0.346,2.474,0.877133
"FLJ45482",0.726,0.445,1.183,0.198059
"DUOX1",1.394,0.503,3.86,0.522773
"RAB3IP",0.738,0.347,1.568,0.428941
"LOC102724891",0.911,0.299,2.777,0.869395
"TRIM36",1.128,0.542,2.35,0.747018
"IKZF1",1.195,0.431,3.313,0.731621
"SEPT7",2.044,1.039,4.019,0.038257
"CEP295",0.759,0.305,1.886,0.552245
"LOC100506411",0.532,0.069,4.088,0.543792
"LOC101929162",0.346,0.057,2.084,0.246684
"PRDM4",0.81,0.325,2.019,0.650713
"BRPF3",0.538,0.17,1.703,0.291538
"GS1-124K5.11",1.105,0.42,2.906,0.839306
"ZNF428",1.172,0.447,3.072,0.74736
"SRRM5",0.871,0.401,1.896,0.72864
"SNORA71A",0.871,0.248,3.061,0.829711
"ZBED6",2.172,0.828,5.699,0.115152
"LOC441155",1.39,0.617,3.133,0.42688
"LOC400627",0.439,0.156,1.239,0.120003
"NADSYN1",0.761,0.326,1.773,0.52616
"CTB-49A3.2",0.85,0.364,1.986,0.707164
"ACTG1P17",0.665,0.098,4.51,0.676055
"SLC17A4",0.812,0.553,1.194,0.290136
"ZGRF1",0.909,0.238,3.471,0.889292
"LMO3",1.705,0.941,3.089,0.078536
"CHML",1.267,0.611,2.63,0.525054
"DGCR7",0.643,0.159,2.606,0.536021
"RPS16P5",1.433,0.974,2.107,0.067701
"LOC102723697",0.795,0.215,2.942,0.731661
"DLEU7",0.559,0.145,2.149,0.397133
"CD6",1.297,0.435,3.871,0.640961
"TTLL5",1.397,0.326,5.989,0.6526
"MFN2",0.544,0.266,1.112,0.094987
"MYNN",1.183,0.385,3.633,0.768683
"PIEZO1",0.587,0.223,1.543,0.27982
"FABP6",0.941,0.586,1.509,0.799933
"LIMS1",1.978,0.6,6.524,0.262518
"CARHSP1",0.746,0.309,1.798,0.513628
"HOPX",1.74,1.111,2.725,0.015545
"LOC101930100",1.219,0.6,2.478,0.58329
"CALML4",0.968,0.553,1.697,0.910771
"RFFL",0.479,0.16,1.431,0.1873
"CLYBL-AS1",0.964,0.329,2.822,0.945973
"SUZ12",1.165,0.535,2.536,0.701274
"TCEA1",1.04,0.355,3.047,0.943622
"KRTAP5-2",0.882,0.344,2.261,0.794409
"DGCR12",0.576,0.186,1.779,0.337651
"SH3GL1P1",0.862,0.109,6.805,0.888109
"SH3GL1P2",0.479,0.093,2.469,0.378922
"RALGAPA1",0.649,0.218,1.936,0.438444
"OR5E1P",1.673,0.413,6.787,0.471204
"OR2M4",2.032,0.488,8.46,0.330072
"PPP1R11",0.716,0.281,1.827,0.484891
"MAF",1.467,0.864,2.492,0.155934
"SNORD8",2.483,0.657,9.387,0.180078
"SOD2",0.863,0.646,1.155,0.322008
"DNTT",0.26,0.05,1.356,0.109924
"SNORA68",0.841,0.356,1.986,0.693481
"LOC102725420",0.667,0.293,1.519,0.334838
"PLD4",0.905,0.33,2.485,0.846405
"LOC283475",0.085,0.012,0.609,0.014095
"CTNND2",1.453,0.223,9.484,0.695957
"LOC100507494",0.727,0.158,3.339,0.681508
"KCNK1",0.766,0.528,1.109,0.158036
"LOC100996506",0.889,0.441,1.794,0.743536
"LOC105375531",0.539,0.168,1.727,0.29828
"CWF19L2",1.24,0.4,3.842,0.708841
"LOC729324",0.619,0.19,2.013,0.425107
"CUX2",0.723,0.234,2.24,0.574396
"PPP5D1",2.589,0.643,10.432,0.180945
"DKFZP547J0410",0.786,0.132,4.683,0.791035
"PPP2R3B",0.567,0.26,1.237,0.154039
"LINC01225",0.855,0.315,2.321,0.758511
"PDXK",0.533,0.263,1.078,0.079786
"MMP2",1.564,0.866,2.826,0.138297
"LOC105371352",1.378,0.353,5.379,0.644698
"VRK3",0.282,0.085,0.929,0.037512
"RPS10P7",0.479,0.203,1.13,0.092885
"LOC283454",0.351,0.082,1.514,0.160571
"LINC01346",0.383,0.079,1.863,0.234356
"PLCE1",0.805,0.464,1.397,0.440057
"LINC00884",0.769,0.212,2.787,0.689463
"MACC1",1.041,0.841,1.288,0.712477
"NSF",0.956,0.531,1.721,0.880814
"FGF22",0.325,0.095,1.111,0.073006
"SBF2-AS1",0.395,0.158,0.987,0.046782
"TOP1P2",0.157,0.025,0.997,0.049679
"LOC283674",0.46,0.13,1.627,0.22832
"PER4",0.349,0.076,1.612,0.177604
"FAM200A",0.927,0.416,2.064,0.852457
"TGIF1",0.687,0.387,1.216,0.197514
"C9orf173-AS1",0.397,0.115,1.37,0.143962
"STPG3",0.695,0.303,1.593,0.389319
"HPYR1",0.499,0.131,1.896,0.307299
"LINC00527",1.098,0.343,3.514,0.874223
"TFB2M",0.266,0.068,1.041,0.057085
"TYRO3P",1.36,0.393,4.713,0.627368
"OR7E104P",1.097,0.49,2.458,0.822004
"SPRY4-IT1",2.014,1.088,3.729,0.025947
"LINC00674",4.449,1.7,11.644,0.002356
"ARID1B",1.002,0.311,3.235,0.997125
"NFE2L2",0.577,0.249,1.335,0.198758
"OR5AK4P",0.532,0.115,2.461,0.419282
"ZNF160",1.009,0.373,2.726,0.986224
"C20orf181",0.353,0.117,1.067,0.065015
"OR1C1",1.471,0.412,5.252,0.552393
"OR8G2",0.406,0.068,2.43,0.323567
"OR8G1",2.254,0.555,9.148,0.255522
"OR1Q1",0.32,0.084,1.214,0.093808
"OR4D1",0.55,0.186,1.625,0.279382
"CLN6",0.8,0.272,2.353,0.684788
"LOC105376944",1.198,0.267,5.376,0.813617
"PNN",0.979,0.578,1.66,0.937414
"ELOVL5",1.163,0.596,2.268,0.658705
"OR2L2",0.808,0.207,3.154,0.758799
"OR2L1P",0.146,0.036,0.601,0.007655
"OR5J2",0.814,0.127,5.223,0.828457
"OR5H1",3.988,0.443,35.918,0.217318
"OR9A1P",0.207,0.026,1.674,0.139775
"OR10A3",0.45,0.105,1.931,0.282302
"OR10D3",1.005,0.331,3.053,0.992827
"OR10D1P",0.265,0.075,0.94,0.039857
"OR1J2",1.028,0.337,3.142,0.960788
"OR4C1P",0.727,0.188,2.814,0.644249
"OR2K2",0.426,0.104,1.751,0.237044
"CTTN",1.145,0.581,2.257,0.694663
"OR1J4",0.572,0.134,2.44,0.450001
"OR5L2",0.478,0.127,1.802,0.275511
"OR5K1",0.93,0.211,4.102,0.9232
"OR13C4",0.578,0.156,2.14,0.411385
"FOXD4",0.808,0.367,1.779,0.596351
"BDNF-AS",0.351,0.029,4.224,0.409247
"ZNF135",4.228,1.186,15.073,0.026225
"RAC1",0.531,0.235,1.201,0.12845
"ABLIM2",1.037,0.484,2.22,0.926479
"TREML5P",0.669,0.222,2.013,0.474799
"CD74",1.122,0.811,1.552,0.488566
"SNORA74A",0.056,0.009,0.333,0.001525
"CECR9",0.55,0.184,1.642,0.284093
"ZNF28",0.565,0.171,1.864,0.348254
"ZNF29P",0.667,0.111,4.005,0.657976
"DEFB114",2.375,0.343,16.457,0.38103
"SOX4",1.678,1.03,2.734,0.037665
"CT45A8",0.665,0.322,1.376,0.271423
"ANXA2",1.631,0.833,3.196,0.153648
"MCAM",1.671,0.983,2.842,0.057943
"SNORA71B",0.689,0.338,1.404,0.304909
"SNHG17",0.861,0.6,1.235,0.415055
"DEFB124",0.546,0.148,2.019,0.364775
"SPP1",1.123,0.958,1.317,0.15135
"ARL3",2.24,0.725,6.918,0.161136
"TRIM69",0.787,0.381,1.628,0.51896
"NUDT16P1",0.545,0.352,0.844,0.006599
"TRIM52",1.156,0.748,1.789,0.513628
"TROAP",0.753,0.482,1.176,0.212025
"KAZALD1",0.841,0.42,1.685,0.624955
"GAD2",0.78,0.111,5.485,0.802428
"CADPS",1.075,0.815,1.417,0.609002
"C11orf88",0.856,0.278,2.637,0.786711
"LOC103091866",1.06,0.835,1.345,0.633385
"P4HA2",0.998,0.666,1.495,0.992637
"GABRG2",4.296,1.229,15.012,0.022418
"RSPH3",1.399,0.715,2.737,0.326857
"SRD5A3-AS1",0.288,0.087,0.947,0.040408
"C11orf96",1.283,0.897,1.835,0.172465
"CAMSAP3",0.694,0.439,1.097,0.117917
"GALNT1",1.181,0.776,1.799,0.437419
"ITPRIPL2",2.076,1.068,4.034,0.031154
"CSAD",1.691,0.806,3.547,0.164329
"SLC35E4",0.737,0.447,1.215,0.23119
"SVOP",0.766,0.214,2.736,0.680986
"PPP4R3B",1.003,0.482,2.085,0.993818
"PIK3R2",0.964,0.444,2.092,0.926396
"LOC101927809",1.058,0.699,1.603,0.788613
"LRRC66",0.898,0.716,1.126,0.350176
"LINC00354",1.006,0.184,5.505,0.994221
"IDO2",1.575,0.812,3.058,0.179204
"GATA2-AS1",0.769,0.419,1.413,0.397519
"LOC101927934",0.549,0.331,0.912,0.020414
"ZNF208",2.501,0.41,15.253,0.320508
"LOC100505851",3.02,0.516,17.669,0.220067
"LOC105370943",0.595,0.176,2.009,0.402868
"LOC105375677",0.669,0.258,1.732,0.407342
"C2orf74",1.39,1.005,1.922,0.046584
"PWRN2",1.215,0.308,4.797,0.780752
"RNF103",0.848,0.412,1.742,0.652619
"EAF2",0.369,0.132,1.037,0.058712
"CHRNA10",0.736,0.169,3.206,0.683272
"FGFR1OP",0.732,0.389,1.379,0.334159
"YTHDC2",0.762,0.487,1.194,0.235642
"LOC100507336",0.463,0.178,1.205,0.114747
"ATP8B5P",1.392,0.185,10.5,0.748442
"LOC100631378",0.873,0.138,5.519,0.885201
"ARMC9",2.422,0.948,6.188,0.064474
"INTS6",1.15,0.606,2.18,0.669043
"CDNF",1.258,0.429,3.683,0.676014
"IFT43",0.62,0.272,1.41,0.254036
"PAAF1",0.821,0.407,1.66,0.583445
"CHERP",0.434,0.158,1.192,0.105546
"PP12719",0.84,0.379,1.861,0.666898
"LOC105369860",0.202,0.031,1.302,0.092497
"TBC1D1",1.588,0.696,3.621,0.271399
"FKBP15",3.15,0.886,11.203,0.076314
"SLC22A23",0.648,0.315,1.331,0.237203
"ZNF506",1.299,0.618,2.73,0.489656
"LOC101928909",1.186,0.346,4.071,0.786229
"LOC101927256",0.754,0.29,1.958,0.561912
"C10orf76",0.586,0.217,1.587,0.293384
"HS1BP3",0.56,0.123,2.554,0.45374
"ATP10A",2.039,0.699,5.953,0.192255
"LOC646268",0.423,0.103,1.738,0.232815
"LOC105374928",1.347,0.197,9.222,0.761348
"RGS13",1.005,0.559,1.805,0.987755
"LOC101927814",0.523,0.115,2.378,0.401365
"MYH11",1.037,0.842,1.279,0.73036
"LOC728613",0.97,0.632,1.49,0.890292
"LOC102724884",0.908,0.637,1.295,0.594611
"SERPINE1",1.213,0.991,1.484,0.061122
"BRE-AS1",1.194,0.579,2.461,0.630748
"EML5",0.71,0.166,3.039,0.64461
"ECM2",1.337,0.947,1.887,0.099144
"UROS",1.11,0.551,2.235,0.770184
"RP2",1.359,0.735,2.514,0.328233
"SREK1",1.087,0.38,3.107,0.875885
"LOC102725116",0.471,0.058,3.807,0.47993
"LOC100506083",0.426,0.12,1.512,0.186583
"UHRF1BP1",0.966,0.303,3.081,0.953404
"EDNRB-AS1",0.647,0.244,1.714,0.381178
"LOC643355",0.812,0.185,3.565,0.783177
"LOC105373495",2.151,0.633,7.316,0.219972
"CCDC157",1.216,0.296,4.987,0.785928
"VWA9",1.153,0.466,2.853,0.757937
"LOC101928371",0.824,0.267,2.539,0.735654
"NCOA7",0.631,0.283,1.406,0.260154
"RBM26-AS1",1.299,0.781,2.161,0.312716
"LOC100507140",0.895,0.245,3.272,0.867318
"DDX50",1.106,0.456,2.682,0.823476
"LOC105372840",1.122,0.676,1.864,0.655473
"BEND6",2.822,0.953,8.359,0.061136
"TTC23",1.153,0.315,4.222,0.829441
"MTG2",0.622,0.291,1.329,0.220304
"LINC01012",0.6,0.141,2.554,0.489708
"LOC401442",0.643,0.182,2.271,0.49307
"TRY2P",1.559,0.602,4.041,0.360624
"IRAK3",1.448,0.758,2.768,0.262227
"LOC101928933",0.767,0.222,2.649,0.674681
"CCDC90B",1.333,0.653,2.722,0.429916
"CLK4",1.316,0.727,2.384,0.364621
"WASIR2",1.041,0.767,1.414,0.796126
"DCAF13",0.802,0.46,1.398,0.43602
"TTLL13P",0.493,0.174,1.393,0.182034
"LOC101929528",0.489,0.116,2.052,0.328107
"LOC101927820",0.881,0.237,3.268,0.849514
"LINC00165",0.58,0.244,1.378,0.217089
"LINC01352",0.586,0.103,3.34,0.547559
"LOC101927929",0.645,0.28,1.488,0.303786
"LINC00240",1.064,0.286,3.963,0.926292
"NBR1",0.778,0.402,1.505,0.45609
"MZF1-AS1",1.173,0.359,3.828,0.791366
"FNTB",1.086,0.672,1.754,0.737377
"CYP27C1",3.898,1.422,10.686,0.008177
"SLC24A4",0.929,0.19,4.55,0.927597
"CADM2-AS1",0.438,0.062,3.118,0.409791
"ISPD-AS1",1.42,0.218,9.25,0.713545
"NCOA6",0.774,0.364,1.645,0.505399
"ACBD5",0.881,0.59,1.315,0.534528
"LRTOMT",0.457,0.141,1.483,0.192075
"DNAJC2",0.73,0.376,1.415,0.350904
"LOC102724382",0.98,0.393,2.44,0.964912
"FANCD2",0.49,0.224,1.074,0.074949
"LOC100996251",0.835,0.212,3.289,0.796888
"LOC101929007",1.048,0.362,3.034,0.931495
"STXBP5L",2.989,0.76,11.755,0.117017
"LOC100422212",1.01,0.292,3.492,0.987035
"LOC101928140",1.069,0.24,4.772,0.930054
"LOC101929511",2.346,0.708,7.773,0.162898
"LOC105371708",0.338,0.135,0.848,0.020768
"LINC01057",0.709,0.308,1.629,0.417806
"LOC728196",1.452,0.368,5.733,0.594526
"LOC101927348",0.636,0.189,2.146,0.466108
"NSUN3",0.388,0.124,1.215,0.104079
"OPN5",0.345,0.081,1.464,0.148907
"SPIRE2",0.648,0.402,1.046,0.07564
"LINC01492",1.78,0.272,11.65,0.547307
"LOC101930286",0.443,0.134,1.469,0.183165
"IQUB",0.249,0.051,1.208,0.084551
"LOC100128343",0.613,0.238,1.579,0.311178
"EFCAB1",1.726,0.332,8.979,0.516569
"LYPD8",0.97,0.789,1.193,0.776104
"CX3CR1",1.396,0.766,2.543,0.275476
"LINC01398",2.634,0.819,8.471,0.104156
"OR8B2",1.953,0.469,8.128,0.357661
"HNRNPC",0.687,0.265,1.783,0.440754
"INPP5D",1.432,0.822,2.496,0.204512
"PITPNC1",1.161,0.647,2.084,0.616378
"C16orf72",1.272,0.521,3.102,0.597175
"SRGAP2C",1.825,1.105,3.014,0.01869
"SPN",0.87,0.213,3.547,0.845478
"ADAM18",1.069,0.17,6.706,0.943577
"NHEG1",0.841,0.215,3.285,0.803431
"C11orf21",1.762,0.756,4.107,0.189433
"GABPB1-AS1",1.418,0.975,2.063,0.067685
"PIGT",0.813,0.405,1.633,0.561188
"POLR1E",0.649,0.345,1.22,0.17938
"PSG6",0.468,0.121,1.811,0.271581
"BMP1",1.434,0.629,3.268,0.391266
"VMP1",1.056,0.861,1.296,0.599256
"CARD8-AS1",0.952,0.559,1.621,0.857603
"BCAS4",0.731,0.344,1.554,0.41606
"LOC284379",1.324,0.537,3.262,0.542121
"LOC648761",1.027,0.313,3.365,0.965165
"LOC101929959",0.625,0.354,1.105,0.105863
"LINC00458",0.577,0.074,4.516,0.600444
"FAM13A",0.876,0.603,1.273,0.486963
"IGF2BP3",1.041,0.845,1.283,0.702526
"LOC440864",0.795,0.187,3.371,0.755441
"IGF2R",1.415,0.728,2.751,0.305684
"AP3M2",1.713,0.996,2.944,0.05154
"SLC1A3",1.301,0.797,2.123,0.292952
"IQGAP3",0.645,0.314,1.324,0.232305
"LOC105374325",0.446,0.136,1.466,0.183819
"C15orf62",1.286,0.435,3.804,0.649581
"TDRD3",1.446,0.837,2.498,0.185997
"SMARCA4",0.761,0.408,1.422,0.392287
"ZNF836",2.418,0.828,7.06,0.106403
"LOC100294362",1.999,0.537,7.442,0.301718
"EML2-AS1",1.234,0.497,3.065,0.651149
"TP53BP1",4.611,1.992,10.671,0.000357
"LOC101929450",0.501,0.139,1.801,0.289375
"ABCA4",0.964,0.348,2.671,0.943747
"SETD5",1.672,0.736,3.8,0.21944
"ZFP69",0.982,0.574,1.68,0.948267
"ZNF589",1.064,0.4,2.831,0.900683
"SOX13",1.986,1.061,3.715,0.031831
"SLC25A24",0.824,0.449,1.51,0.530314
"LOC105370697",1.622,0.313,8.417,0.56449
"LRRC63",1.273,0.184,8.811,0.806769
"CCNC",0.692,0.328,1.462,0.335264
"C3orf38",1.048,0.591,1.861,0.871692
"ARSK",0.742,0.221,2.486,0.628042
"MGAT4A",0.911,0.611,1.357,0.646079
"FAM53A",0.642,0.253,1.629,0.351004
"UBR2",1.303,0.528,3.217,0.565467
"PPARGC1A",1.107,0.732,1.674,0.630581
"TRIM13",1.379,0.904,2.102,0.135586
"CYSRT1",0.878,0.443,1.738,0.708032
"SOGA3",0.916,0.208,4.028,0.907357
"PDLIM7",1.744,1.087,2.798,0.021058
"GRAMD4",0.973,0.521,1.817,0.932233
"LZTS1",2.11,0.552,8.066,0.27524
"CFAP99",0.648,0.28,1.503,0.312661
"TMPRSS12",0.871,0.205,3.71,0.852198
"GRIA4",1.957,0.192,19.908,0.570425
"CHM",1.66,0.854,3.226,0.135142
"MYO3A",0.452,0.065,3.164,0.424178
"TTC9C",0.971,0.426,2.21,0.943394
"CXCL2",0.797,0.571,1.113,0.183409
"PRCP",0.457,0.117,1.792,0.261577
"SCART1",0.408,0.142,1.171,0.095749
"LRRC74B",1.37,0.326,5.769,0.667432
"PKIA-AS1",1.558,0.345,7.04,0.564616
"ZNF93",1.382,0.69,2.768,0.361569
"C8orf74",1.015,0.359,2.868,0.977121
"FAM43B",2.173,0.94,5.024,0.069583
"FMNL1",1.202,0.529,2.733,0.66091
"DAB1-AS1",0.687,0.195,2.414,0.558145
"UBE3D",0.491,0.16,1.511,0.214864
"GRIN2C",0.259,0.06,1.116,0.069944
"LOC100134368",0.634,0.219,1.833,0.399886
"PIK3C3",1.413,0.466,4.285,0.541091
"ZNF891",0.938,0.441,1.995,0.867945
"BIVM",1.071,0.55,2.087,0.84046
"GRIA3",1.446,0.15,13.922,0.749833
"CROCCP2",0.777,0.362,1.668,0.517881
"RNF187",0.705,0.157,3.163,0.648571
"LINC01300",1.931,0.657,5.679,0.231629
"MFAP3L",0.749,0.352,1.593,0.452872
"RGS20",0.763,0.255,2.284,0.628457
"LOC105371622",0.71,0.116,4.337,0.710343
"TRIM24",0.885,0.477,1.645,0.700185
"GPBP1L1",1.081,0.614,1.902,0.787433
"LINC00857",0.906,0.513,1.598,0.732366
"PTPRG",1.17,0.69,1.984,0.560994
"STX18-AS1",1.022,0.372,2.811,0.965761
"CNKSR3",0.636,0.32,1.264,0.196467
"LINC00488",0.907,0.247,3.333,0.883567
"STRA6",2.436,1.22,4.863,0.011604
"SLC5A9",1.222,0.642,2.326,0.541305
"LOC101928123",0.499,0.127,1.953,0.31791
"GLI3",1.769,1.05,2.981,0.032104
"LOC105375172",1.233,0.937,1.623,0.135429
"LOC102725451",1.307,0.571,2.991,0.525969
"EMSY",1.328,0.512,3.442,0.55923
"FNIP2",1.159,0.726,1.85,0.537576
"CCP110",1.356,0.716,2.57,0.349738
"NSUN6",1.209,0.729,2.005,0.462089
"LOC100129098",1.571,0.553,4.461,0.396241
"ALCAM",0.995,0.707,1.4,0.978137
"KIAA1656",0.958,0.371,2.475,0.929429
"ZFYVE28",0.593,0.257,1.369,0.220979
"LRRC59",0.358,0.097,1.328,0.124611
"LOC100507194",1.359,0.713,2.592,0.35117
"C3orf62",1.055,0.341,3.267,0.9264
"LOC101929964",0.653,0.245,1.742,0.394682
"HERPUD1",0.61,0.263,1.413,0.248732
"TET2",1.511,0.596,3.834,0.384809
"CSGALNACT1",1.46,0.982,2.171,0.061256
"TNKS",6.11,1.576,23.685,0.008835
"TECR",0.622,0.274,1.412,0.256388
"MGC15885",0.375,0.125,1.128,0.080802
"LOC101929280",0.651,0.267,1.588,0.345744
"MEIS3",0.869,0.321,2.354,0.783097
"LOC101928716",1.018,0.393,2.641,0.970005
"LOC102724708",1.341,0.314,5.72,0.692176
"AGO4",1.567,0.542,4.526,0.406657
"FLG2",0.548,0.115,2.611,0.450344
"LINC00682",1.276,0.358,4.545,0.706989
"CLDN4",0.749,0.437,1.284,0.293485
"LOC100996342",0.804,0.284,2.282,0.682231
"PYM1",0.723,0.329,1.59,0.42011
"PTRH1",0.963,0.445,2.082,0.922911
"PAFAH1B2",1.95,0.732,5.198,0.181779
"SAMD5",0.838,0.702,1,0.050073
"C14orf105",2.079,0.948,4.558,0.067675
"TUSC8",1.366,0.819,2.276,0.231901
"ZNF782",1.497,0.641,3.5,0.351464
"PGM2L1",1.499,0.966,2.325,0.070674
"CAPZA2",1.209,0.722,2.025,0.46981
"PPFIBP1",1.759,0.94,3.29,0.077092
"FAM160A1",0.598,0.235,1.518,0.27936
"ZNF876P",1.985,0.471,8.364,0.350324
"LHX8",0.428,0.056,3.248,0.411468
"FRMD5",1.128,0.838,1.52,0.426658
"TTC3P1",1.225,0.846,1.776,0.282852
"DKFZP434L187",0.98,0.163,5.903,0.982385
"LOC101927151",0.813,0.419,1.578,0.540459
"SNX22",0.533,0.185,1.531,0.242315
"MDN1",0.956,0.479,1.909,0.898776
"LOC101928401",0.666,0.184,2.415,0.536173
"FNDC3B",1.023,0.383,2.737,0.963505
"LOC101927752",1.709,0.687,4.253,0.249048
"LOC100130872",1.714,1.122,2.616,0.012591
"TP73-AS1",0.876,0.417,1.84,0.72612
"HEATR5B",0.996,0.459,2.164,0.992412
"LILRB4",1.066,0.613,1.853,0.821611
"PRDM5",1.334,0.367,4.845,0.661279
"SVIL",1.356,0.824,2.233,0.231245
"LOC100996681",0.745,0.298,1.867,0.530353
"LOC646482",1.25,0.566,2.764,0.581099
"LOC101929747",0.301,0.114,0.796,0.0156
"BMS1P17",0.496,0.19,1.296,0.152382
"LOC105375240",2.018,0.497,8.192,0.325926
"LCN15",1.002,0.876,1.147,0.972157
"FLVCR2",0.747,0.402,1.389,0.357136
"LINC00463",3.304,1.09,10.016,0.034649
"SAMMSON",3.337,0.704,15.818,0.12903
"PTPN18",0.672,0.329,1.374,0.276088
"ESR2",0.474,0.068,3.305,0.450914
"GDA",1.104,0.804,1.516,0.540222
"ZNF248",1.693,0.673,4.258,0.263029
"HIRA",0.631,0.323,1.232,0.177242
"LIPJ",0.257,0.014,4.584,0.355017
"LOC102724927",0.043,0.006,0.29,0.001254
"AADACP1",1.298,0.988,1.704,0.060746
"EREG",0.892,0.768,1.036,0.135121
"KANK2",1.916,0.999,3.675,0.050509
"LINC01134",0.491,0.129,1.868,0.296536
"LOC102725051",1.131,0.843,1.518,0.411103
"LOC105379426",0.699,0.302,1.618,0.402827
"IQCH",0.552,0.067,4.528,0.579836
"LCN8",0.59,0.184,1.889,0.374226
"GMNC",0.6,0.182,1.977,0.401309
"OSBP2",0.849,0.281,2.563,0.771721
"LOC100128079",0.622,0.146,2.657,0.521734
"NMNAT1",0.993,0.615,1.603,0.976105
"ZNF736",1.462,0.811,2.634,0.206549
"SOX5",3.237,1.187,8.83,0.02178
"EEPD1",1.198,0.556,2.583,0.64509
"F2R",1.49,0.906,2.449,0.116397
"KIRREL3-AS2",0.325,0.077,1.375,0.126682
"LOC643623",1.444,0.494,4.221,0.502213
"DACT2",0.593,0.321,1.096,0.095482
"MLLT3",0.806,0.604,1.075,0.141278
"LOC100506895",1.126,0.29,4.373,0.863385
"PP13439",1.176,0.428,3.226,0.753272
"FOXR2",0.617,0.145,2.63,0.513715
"PP12613",0.272,0.097,0.761,0.013103
"POU2AF1",0.836,0.624,1.122,0.233026
"TOR1AIP2",0.873,0.34,2.239,0.777659
"CDH22",0.823,0.236,2.866,0.759325
"LOC101929378",1.199,0.454,3.166,0.713431
"XYLB",0.191,0.054,0.68,0.010626
